FF Midwest (G7),FF South (G6),FF East (G5),FF West (G4),Right Half (G3),Left Half (G2),Champion (G1),Probability,Sum of 2 Points,Sum of 2 Winner,Sum of 2 ID1+ID2,Best Bracket Points,Best Bracket Winner,Best Bracket ID,
Houston,Baylor,Michigan,Gonzaga,Baylor,Gonzaga,Gonzaga,0.07008284699999999,158,Sangburm,8&25,98,Sangburm,8,
Oregon St,Baylor,Michigan,Gonzaga,Baylor,Gonzaga,Gonzaga,0.0330284385,153,Sangburm,8&25,93,Sangburm,8,
Houston,Arkansas,UCLA,USC,Houston,USC,USC,0.0033423232499999993,131,Mookie,19&6,69,Mookie,19,
Oregon St,Arkansas,UCLA,USC,Oregon St,USC,USC,0.0010988460000000003,118,Mookie,6&19,62,Mookie,6,
Houston,Baylor,UCLA,USC,Houston,USC,USC,0.006350414174999999,126,Mookie,19&6,65,Daniel,1,
Oregon St,Baylor,UCLA,USC,Oregon St,USC,USC,0.0017306824499999998,115,Alex,28&13,62,Mookie,6,
Houston,Arkansas,Michigan,USC,Houston,USC,USC,0.004674226500000001,136,Mookie,19&6,74,Mookie,19,
Oregon St,Arkansas,Michigan,USC,Oregon St,USC,USC,0.0015367320000000005,123,Mookie,6&19,62,Mookie,6,
Houston,Baylor,Michigan,USC,Houston,USC,USC,0.008881030350000001,131,Mookie,19&6,69,Mookie,19,
Oregon St,Baylor,Michigan,USC,Oregon St,USC,USC,0.0024203528999999996,118,Mookie,6&19,62,Mookie,6,
Houston,Arkansas,UCLA,Gonzaga,Houston,Gonzaga,Gonzaga,0.017441871749999997,152,Alex,28&20,82,Alex,28,
Oregon St,Arkansas,UCLA,Gonzaga,Oregon St,Gonzaga,Gonzaga,0.005173348500000001,135,Sangburm,8&25,82,Alex,28,
Houston,Baylor,UCLA,Gonzaga,Houston,Gonzaga,Gonzaga,0.033139556325,157,Alex,28&20,87,Alex,28,
Oregon St,Baylor,UCLA,Gonzaga,Oregon St,Gonzaga,Gonzaga,0.0081480238875,140,Sangburm,8&25,87,Alex,28,
Houston,Arkansas,Michigan,Gonzaga,Houston,Gonzaga,Gonzaga,0.0259984755,152,Alex,28&20,82,Alex,28,
Oregon St,Arkansas,Michigan,Gonzaga,Oregon St,Gonzaga,Gonzaga,0.007711281000000001,135,Sangburm,8&25,82,Alex,28,
Houston,Baylor,Michigan,Gonzaga,Houston,Gonzaga,Gonzaga,0.049397103449999986,157,Alex,28&20,87,Alex,28,
Oregon St,Baylor,Michigan,Gonzaga,Oregon St,Gonzaga,Gonzaga,0.012145267574999999,140,Sangburm,8&25,87,Alex,28,
Houston,Arkansas,UCLA,USC,Arkansas,UCLA,UCLA,0.001282975,123,Mookie,6&19,70,Austin,17,
Oregon St,Arkansas,UCLA,USC,Arkansas,UCLA,UCLA,0.0007117875,118,Mookie,6&19,65,Austin,17,
Houston,Baylor,UCLA,USC,Baylor,UCLA,UCLA,0.0035795002500000005,123,Daniel,1&7,73,Daniel,1,
Oregon St,Baylor,UCLA,USC,Baylor,UCLA,UCLA,0.0016869363750000004,117,Sangburm,8&25,68,Daniel,1,
Houston,Arkansas,Michigan,USC,Arkansas,Michigan,Michigan,0.003070891,131,Daniel,11&1,71,Daniel,11,
Oregon St,Arkansas,Michigan,USC,Arkansas,Michigan,Michigan,0.0017037135000000003,126,Daniel,11&1,71,Daniel,11,
